flyby_url,flyby_index,flyby_cassini_mission,flyby_date,flyby_altitude,flyby_cube_quantity,flyby_sequence,flyby_revolution
https://vims.univ-nantes.fr/flyby/000TI,000TI,Prime,2004-07-02,339120 km,2995,S2,0
https://vims.univ-nantes.fr/flyby/00ATI,TA | 00ATI,Prime,2004-10-26,1174 km,119,S5,A
https://vims.univ-nantes.fr/flyby/00BTI,TB | 00BTI,Prime,2004-12-13,1192 km,154,S6,B
https://vims.univ-nantes.fr/flyby/003TI,T3 | 003TI,Prime,2005-02-15,1579 km,141,S8,3
https://vims.univ-nantes.fr/flyby/005TI,T4 | 005TI,Prime,2005-03-31,2404 km,95,S9,5
https://vims.univ-nantes.fr/flyby/006TI,T5 | 006TI,Prime,2005-04-16,1027 km,38,S10,6
https://vims.univ-nantes.fr/flyby/009TI,009TI,Prime,2005-06-06,425570 km,6,S11,9
https://vims.univ-nantes.fr/flyby/013TI,T6 | 013TI,Prime,2005-08-22,3660 km,149,S13,13
https://vims.univ-nantes.fr/flyby/014TI,T7 | 014TI,Prime,2005-09-07,1075 km,31,S14,14
https://vims.univ-nantes.fr/flyby/017TI,T8 | 017TI,Prime,2005-10-28,1353 km,59,S15,17
https://vims.univ-nantes.fr/flyby/019TI,T9 | 019TI,Prime,2005-12-26,10411 km,163,S17,19
https://vims.univ-nantes.fr/flyby/020TI,T10 | 020TI,Prime,2006-01-15,2043 km,190,S17,20
https://vims.univ-nantes.fr/flyby/021TI,T11 | 021TI,Prime,2006-02-27,1812 km,132,S18,21
https://vims.univ-nantes.fr/flyby/022TI,T12 | 022TI,Prime,2006-03-19,1949 km,269,S19,22
https://vims.univ-nantes.fr/flyby/023TI,T13 | 023TI,Prime,2006-04-30,1856 km,13,S20,23
https://vims.univ-nantes.fr/flyby/024TI,T14 | 024TI,Prime,2006-05-20,1879 km,113,S20,24
https://vims.univ-nantes.fr/flyby/025TI,T15 | 025TI,Prime,2006-07-02,1906 km,76,S21,25
https://vims.univ-nantes.fr/flyby/026TI,T16 | 026TI,Prime,2006-07-22,950 km,104,S22,26
https://vims.univ-nantes.fr/flyby/028TI,T17 | 028TI,Prime,2006-09-07,1000 km,73,S23,28
https://vims.univ-nantes.fr/flyby/029TI,T18 | 029TI,Prime,2006-09-23,960 km,377,S24,29
https://vims.univ-nantes.fr/flyby/030TI,T19 | 030TI,Prime,2006-10-09,980 km,78,S24,30
https://vims.univ-nantes.fr/flyby/031TI,T20 | 031TI,Prime,2006-10-25,1030 km,132,S25,31
https://vims.univ-nantes.fr/flyby/035TI,T21 | 035TI,Prime,2006-12-12,1000 km,70,S26,35
https://vims.univ-nantes.fr/flyby/036TI,T22 | 036TI,Prime,2006-12-28,1297 km,39,S26,36
https://vims.univ-nantes.fr/flyby/037TI,T23 | 037TI,Prime,2007-01-13,1000 km,326,S27,37
https://vims.univ-nantes.fr/flyby/038TI,T24 | 038TI,Prime,2007-01-29,2631 km,244,S27,38
https://vims.univ-nantes.fr/flyby/039TI,T25 | 039TI,Prime,2007-02-22,1000 km,48,S28,39
https://vims.univ-nantes.fr/flyby/040TI,T26 | 040TI,Prime,2007-03-10,981 km,227,S28,40
https://vims.univ-nantes.fr/flyby/041TI,T27 | 041TI,Prime,2007-03-26,1010 km,116,S28,41
https://vims.univ-nantes.fr/flyby/042TI,T28 | 042TI,Prime,2007-04-10,991 km,182,S29,42
https://vims.univ-nantes.fr/flyby/043TI,T29 | 043TI,Prime,2007-04-26,981 km,221,S29,43
https://vims.univ-nantes.fr/flyby/044TI,T30 | 044TI,Prime,2007-05-12,959 km,321,S30,44
https://vims.univ-nantes.fr/flyby/045TI,T31 | 045TI,Prime,2007-05-28,2299 km,102,S30,45
https://vims.univ-nantes.fr/flyby/046TI,T32 | 046TI,Prime,2007-06-13,965 km,170,S31,46
https://vims.univ-nantes.fr/flyby/047TI,T33 | 047TI,Prime,2007-06-29,1933 km,107,S31,47
https://vims.univ-nantes.fr/flyby/048TI,T34 | 048TI,Prime,2007-07-19,1332 km,176,S32,48
https://vims.univ-nantes.fr/flyby/049TI,T35 | 049TI,Prime,2007-08-31,3324 km,116,S33,49
https://vims.univ-nantes.fr/flyby/050TI,T36 | 050TI,Prime,2007-10-02,973 km,168,S34,50
https://vims.univ-nantes.fr/flyby/051TI,051TI,Prime,2007-10-22,438395 km,11,S34,51
https://vims.univ-nantes.fr/flyby/052TI,T37 | 052TI,Prime,2007-11-19,999 km,172,S35,52
https://vims.univ-nantes.fr/flyby/053TI,T38 | 053TI,Prime,2007-12-05,1298 km,229,S35,53
https://vims.univ-nantes.fr/flyby/054TI,T39 | 054TI,Prime,2007-12-20,970 km,140,S36,54
https://vims.univ-nantes.fr/flyby/055TI,T40 | 055TI,Prime,2008-01-05,1014 km,369,S36,55
https://vims.univ-nantes.fr/flyby/059TI,T41 | 059TI,Prime,2008-02-22,1000 km,143,S38,59
