flyby,cube,date_ddmmyyyy,resolution_km,phase_degs,notes
Ta, ,10/26/2004
T8, ,10/28/2005
T31, ,05/28/2007
T61, ,08/25/2009
T62, ,10/12/2009
T67, ,04/25/2010
T79, ,12/13/2011
T85, ,07/24/2012
T90,1743911656_1,06/04/2013,49,74,
T92, ,07/10/2013
T97,1767272775_1,01/01/2014,89,61,
T98,1770027255_1,02/02/2014,90,52,
T99,1772763004_1,06/03/2014,139,43,
T100,1775540587_1,07/04/2014,80,35,
T106,1792771773_1,23/10/2014,104,66,
T107,1796896264_1,10/12/2014,124,59,
T108,1799667362_1,11/01/2015,84,53,
T108,1799689122_1,11/01/2015,28,52,higher resolution overlay of NSA boundary; may show evidence of tilt that we can use as a test?
T109,1802419648_1,12/02/2015,91,46,
T110,1805177835_1,16/03/2015,83,39,
T112,1814906506_1,06/07/2015,117,26,
T114,1826053334_1,12/11/2015,85,26,
T116,1832948739_1,31/01/2016,88,30,
T117,1834316826_1,16/02/2016,115,37,
T118,1838459038_1,04/04/2016,89,45,
278TI,1875632672_1,08/06/2017,175,45,non-targeted flyby of Titan
283TI,1878426837_1,11/07/2017,154,47,non-targeted flyby of Titan
